,location,total_sqft,bath,price,bhk
2653,Haralur Road,1225.0,2.0,70.0,2
2656,Haralur Road,1830.0,3.0,101.0,3
2657,Haralur Road,1810.0,3.0,126.0,3
2659,Haralur Road,1520.0,2.0,96.0,3
2660,Haralur Road,1300.0,2.0,75.0,2
2661,Haralur Road,2017.0,2.0,125.0,3
2667,Haralur Road,2017.0,3.0,105.0,3
2670,Haralur Road,1520.0,2.0,90.0,3
2672,Haralur Road,1985.0,3.0,130.0,3
2673,Haralur Road,1255.0,2.0,90.0,3
2674,Haralur Road,1056.0,2.0,60.0,2
2682,Haralur Road,1560.0,3.0,90.0,3
2683,Haralur Road,1520.0,2.0,85.0,3
2687,Haralur Road,1650.0,3.0,100.0,3
2692,Haralur Road,1520.0,2.0,96.0,3
2693,Haralur Road,1510.0,3.0,83.05,3
2694,Haralur Road,1056.0,2.0,65.0,2
2695,Haralur Road,1810.0,3.0,100.0,3
2697,Haralur Road,575.0,1.0,38.0,1
2702,Haralur Road,1850.0,3.0,120.0,3
2708,Haralur Road,1730.0,3.0,95.0,3
2712,Haralur Road,1817.0,3.0,110.0,3
2713,Haralur Road,1225.0,2.0,77.0,2
2714,Haralur Road,1285.0,2.0,78.0,2
2715,Haralur Road,1225.0,2.0,67.48,2
2716,Haralur Road,1225.0,2.0,69.84,2
2718,Haralur Road,1315.0,2.0,85.0,2
2720,Haralur Road,1300.0,2.0,75.0,2
2721,Haralur Road,1309.0,2.0,82.0,2
2726,Haralur Road,1300.0,2.0,75.0,2
2729,Haralur Road,1230.0,2.0,67.65,2
2733,Haralur Road,1255.0,3.0,90.0,3
2734,Haralur Road,1735.0,3.0,97.0,3
2735,Haralur Road,1810.0,3.0,97.83,3
2738,Haralur Road,1810.0,3.0,112.0,3
2740,Harlur,1752.12,3.0,135.0,3
2743,Harlur,1709.0,3.0,150.0,3
2744,Harlur,1174.0,2.0,69.0,2
2746,Harlur,1197.0,2.0,84.0,2
2747,Harlur,1757.0,3.0,132.0,3
2748,Harlur,1174.0,2.0,76.0,2
2749,Harlur,1754.0,3.0,125.0,3
2750,Harlur,1290.0,2.0,85.0,2
2751,Harlur,1752.12,3.0,116.0,3
2752,Harlur,1754.0,3.0,135.0,3
2753,Harlur,1754.0,3.0,124.0,3
2754,Harlur,1152.0,2.0,69.0,2
2755,Harlur,1290.0,2.0,87.0,2
2756,Harlur,1749.0,3.0,115.0,3
2757,Harlur,3385.0,4.0,260.0,4
2758,Harlur,2240.0,5.0,155.0,3
2759,Harlur,1758.0,3.0,133.0,3
2760,Harlur,1884.0,4.0,120.0,4
2761,Harlur,1197.0,2.0,79.0,2
2762,Harlur,1174.0,2.0,78.0,2
2763,Harlur,1730.0,3.0,100.0,3
2764,Harlur,2138.0,3.0,110.0,3
2766,Harlur,1197.0,2.0,79.0,2
2767,Harlur,1749.0,3.0,112.0,3
2768,Harlur,1174.0,2.0,75.0,2
2769,Harlur,1750.0,3.0,136.0,3
2770,Harlur,1620.0,3.0,110.0,3
2771,Harlur,1414.0,3.0,77.5,3
2772,Harlur,1630.0,3.0,95.1,3
2773,Harlur,1762.0,3.0,133.0,3
2774,Harlur,1756.0,3.0,131.0,3
2775,Harlur,1755.0,3.0,130.0,3
2776,Harlur,1864.0,3.0,140.0,3
2777,Harlur,1331.0,2.0,88.0,2
2778,Harlur,1752.12,3.0,133.0,3
2780,Harlur,1756.0,3.0,128.0,3
2781,Harlur,1749.0,3.0,120.0,3
2782,Harlur,1197.0,2.0,82.0,2
2783,Harlur,1303.0,2.0,90.0,2
2784,Harlur,1754.0,3.0,132.0,3
2785,Harlur,1174.0,2.0,75.0,2
2786,Harlur,1756.0,3.0,134.0,3
2787,Harlur,1197.0,2.0,78.0,2
2788,Harlur,1290.0,2.0,89.9,2
2789,Harlur,1386.0,2.0,85.0,2
2790,Harlur,1174.0,2.0,74.0,2
2791,Harlur,1174.0,2.0,78.0,2
2793,Harlur,1755.0,3.0,115.0,3
2795,Harlur,2569.0,4.0,175.0,4
2797,Harlur,1197.0,2.0,77.0,2
2798,Harlur,1752.12,3.0,125.0,3
2799,Harlur,2569.0,5.0,180.0,4
2801,Harlur,1197.0,2.0,76.0,2
2802,Harlur,2137.0,3.0,110.0,3
2803,Harlur,1197.0,2.0,75.0,2
2804,Harlur,1755.0,3.0,117.0,3
2805,Harlur,1197.0,2.0,79.9,2
2807,Harlur,2990.0,4.0,225.0,4
2808,Harlur,1370.0,2.0,88.0,2
2809,Harlur,1335.0,2.0,72.76,2
2810,Hebbal,1760.0,2.0,123.0,3
2811,Hebbal,5611.5,4.0,477.0,4
2812,Hebbal,1900.0,3.0,119.0,3
2813,Hebbal,1349.0,2.0,98.2,2
2814,Hebbal,2483.0,5.0,212.0,4
2815,Hebbal,1760.0,2.0,130.0,3
2816,Hebbal,3450.0,5.0,260.0,3
2817,Hebbal,1920.0,3.0,134.0,3
2818,Hebbal,1337.0,2.0,82.0,2
2819,Hebbal,1349.0,2.0,98.0,2
2820,Hebbal,1255.0,2.0,77.68,3
2821,Hebbal,1355.0,3.0,83.87,3
2822,Hebbal,1790.0,3.0,127.0,3
2823,Hebbal,687.325,2.0,42.72,2
2824,Hebbal,2790.0,5.0,198.0,4
2825,Hebbal,1985.0,4.0,189.0,3
2826,Hebbal,2483.0,5.0,215.0,4
2828,Hebbal,812.0,2.0,55.0,2
2829,Hebbal,2790.0,4.0,198.0,4
2830,Hebbal,3067.0,4.0,230.0,4
2831,Hebbal,2526.0,2.0,250.0,3
2832,Hebbal,3067.0,4.0,230.0,4
2833,Hebbal,1255.0,2.0,77.68,3
2834,Hebbal,823.0,2.0,50.63,2
2835,Hebbal,1420.0,2.0,123.0,2
2836,Hebbal,1069.0,3.0,65.4,3
2837,Hebbal,1420.0,2.0,99.39,2
2838,Hebbal,4235.0,4.0,365.0,4
2839,Hebbal,1700.0,3.0,124.0,3
2840,Hebbal,3960.0,5.0,386.0,4
2841,Hebbal,1420.0,2.0,99.39,2
2842,Hebbal,1355.0,3.0,83.87,3
2843,Hebbal,1440.0,2.0,115.0,2
2845,Hebbal,1355.0,3.0,83.87,3
2846,Hebbal,2400.0,4.0,180.0,3
2847,Hebbal,1255.0,2.0,77.68,3
2848,Hebbal,1420.0,2.0,107.0,2
2849,Hebbal,1320.0,2.0,92.0,2
2850,Hebbal,919.0,2.0,49.0,2
2851,Hebbal,1645.0,3.0,135.0,3
2852,Hebbal,2080.0,3.0,175.0,3
2853,Hebbal,1355.0,3.0,83.87,3
2854,Hebbal,2483.0,5.0,230.0,4
2855,Hebbal,2600.0,3.0,195.0,3
2856,Hebbal,1645.0,3.0,117.0,3
2857,Hebbal,1251.0,2.0,88.73,2
2858,Hebbal,1645.0,3.0,121.0,3
2859,Hebbal,1760.0,3.0,123.0,3
2860,Hebbal,2790.0,4.0,198.0,4
2861,Hebbal,3960.0,5.0,386.0,4
2862,Hebbal,1645.0,3.0,120.0,3
2863,Hebbal,1255.0,2.0,90.0,3
2864,Hebbal,1645.0,3.0,117.0,3
2865,Hebbal,1255.0,3.0,77.68,3
2866,Hebbal,1586.0,3.0,90.0,3
2867,Hebbal,1636.0,3.0,119.0,3
2868,Hebbal,2661.0,2.0,226.5,3
2869,Hebbal,1255.0,2.0,95.0,3
2870,Hebbal,2790.0,4.0,198.0,4
2871,Hebbal,1269.0,2.0,73.0,3
2872,Hebbal,1255.0,2.0,95.0,3
2873,Hebbal,1088.0,2.0,61.45,2
2874,Hebbal,1349.0,2.0,97.8,2
2875,Hebbal,1255.0,3.0,77.68,3
2876,Hebbal,1344.0,2.0,108.0,2
2877,Hebbal,1255.0,2.0,90.0,3
2878,Hebbal,1255.0,3.0,77.68,3
2879,Hebbal,1138.0,2.0,110.0,2
2880,Hebbal,2790.0,5.0,204.0,4
2881,Hebbal,1088.0,2.0,62.0,2
2882,Hebbal,1987.0,4.0,165.0,3
2883,Hebbal,2790.0,5.0,198.0,4
2884,Hebbal,1299.0,2.0,100.0,2
2886,Hebbal,1645.0,3.0,117.0,3
2887,Hebbal,1390.0,2.0,95.0,2
2888,Hebbal,1333.0,2.0,100.0,2
2889,Hebbal,1355.0,3.0,83.87,3
2890,Hebbal,2650.0,4.0,199.0,3
2891,Hebbal,1800.0,3.0,140.0,3
2892,Hebbal,1860.0,3.0,95.0,3
2893,Hebbal,2470.0,4.0,203.0,4
2894,Hebbal,1255.0,2.0,95.0,3
2895,Hebbal,1333.0,2.0,104.0,2
2896,Hebbal,1645.0,3.0,117.0,3
2897,Hebbal,2600.0,3.0,199.0,3
2898,Hebbal,1345.0,2.0,97.0,2
2899,Hebbal,1110.0,3.0,59.0,3
2900,Hebbal,985.0,2.0,62.0,2
2901,Hebbal,1320.0,2.0,91.0,2
2902,Hebbal,2388.0,3.0,195.0,3
2903,Hebbal,1040.0,2.0,55.0,2
2905,Hebbal,2600.0,3.0,195.0,3
2906,Hebbal,2630.0,5.0,188.0,4
2907,Hebbal,2790.0,5.0,198.0,4
2908,Hebbal,1645.0,3.0,113.0,3
2909,Hebbal,1355.0,3.0,83.87,3
2910,Hebbal,1420.0,2.0,99.39,2
2911,Hebbal,1590.0,3.0,96.0,3
2912,Hebbal,3520.0,5.0,320.0,3
2913,Hebbal,1162.0,2.0,69.0,2
2914,Hebbal,1100.0,2.0,60.0,2
2915,Hebbal,4235.0,5.0,364.0,4
2916,Hebbal,1299.0,2.0,97.0,2
2917,Hebbal,1255.0,3.0,77.68,3
2918,Hebbal,2470.0,5.0,192.0,4
2919,Hebbal,1645.0,3.0,117.0,3
2920,Hebbal,1920.0,3.0,134.0,3
2921,Hebbal,3520.0,5.0,240.0,3
2922,Hebbal,1920.0,3.0,150.0,3
2923,Hebbal,2375.0,4.0,189.0,4
2924,Hebbal,1420.0,2.0,99.26,2
2925,Hebbal,1252.0,2.0,92.0,2
2926,Hebbal,2790.0,4.0,198.0,4
2928,Hebbal,1294.0,2.0,115.0,2
2929,Hebbal,4225.0,6.0,359.0,4
2931,Hebbal,1740.0,2.0,137.0,3
2932,Hebbal,1430.0,3.0,85.0,3
2933,Hebbal,1662.0,3.0,155.0,3
2934,Hebbal,2250.0,3.0,219.0,3
2935,Hebbal,1349.0,2.0,98.0,2
2936,Hebbal,4000.0,6.0,370.0,4
2937,Hebbal,1349.0,2.0,96.8,2
2938,Hebbal Kempapura,1700.0,3.0,155.0,3
2939,Hebbal Kempapura,1800.0,3.0,175.0,3
2940,Hebbal Kempapura,2900.0,4.0,300.0,3
2941,Hebbal Kempapura,3522.0,3.0,380.0,3
2942,Hebbal Kempapura,2280.0,5.0,200.0,5
2943,Hebbal Kempapura,1200.0,2.0,125.0,2
2944,Hebbal Kempapura,2900.0,4.0,240.0,3
2945,Hebbal Kempapura,3900.0,5.0,360.0,4
2946,Hebbal Kempapura,1300.0,2.0,102.0,2
2947,Hebbal Kempapura,1466.0,2.0,140.0,3
2948,Hebbal Kempapura,3900.0,5.0,310.0,4
2949,Hebbal Kempapura,1725.0,2.0,165.0,3
2950,Hebbal Kempapura,1200.0,3.0,125.0,3
2951,Hebbal Kempapura,3408.0,3.0,260.0,3
2952,Hebbal Kempapura,1485.0,3.0,132.0,2
2953,Hebbal Kempapura,1400.0,2.0,108.0,2
2954,Hebbal Kempapura,1800.0,3.0,150.0,3
2955,Hebbal Kempapura,2400.0,5.0,200.0,5
2956,Hebbal Kempapura,2800.0,5.0,220.0,5
2957,Hebbal Kempapura,1785.0,3.0,165.0,3
2958,Hebbal Kempapura,3729.0,4.0,384.0,4
2959,Hebbal Kempapura,1600.0,3.0,170.0,3
2960,Hebbal Kempapura,1730.0,3.0,175.0,3
2961,Hebbal Kempapura,2485.0,4.0,198.0,4
2962,Hegde Nagar,1569.0,3.0,101.0,3
2964,Hegde Nagar,2026.0,3.0,132.0,3
2965,Hegde Nagar,1801.0,3.0,115.0,3
2966,Hegde Nagar,1050.0,1.0,56.0,2
2967,Hegde Nagar,1341.0,2.0,97.0,2
2968,Hegde Nagar,2112.95,4.0,145.0,3
2969,Hegde Nagar,1200.0,4.0,83.0,4
2970,Hegde Nagar,1703.0,3.0,113.0,3
2971,Hegde Nagar,1570.0,3.0,105.0,3
2972,Hegde Nagar,1801.0,3.0,140.0,3
2973,Hegde Nagar,1584.01,3.0,103.0,3
2974,Hegde Nagar,1965.0,4.0,125.0,3
2975,Hegde Nagar,1200.0,2.0,75.0,2
2976,Hegde Nagar,1847.0,3.0,135.0,3
2977,Hegde Nagar,1965.0,4.0,132.0,3
2978,Hegde Nagar,1703.0,3.0,125.0,3
2979,Hegde Nagar,1847.0,3.0,125.0,3
2980,Hegde Nagar,2144.6,4.0,145.0,3
2981,Hegde Nagar,1718.0,3.0,119.0,3
2982,Hegde Nagar,1847.0,3.0,123.0,3
2983,Hegde Nagar,1340.0,2.0,72.0,2
2984,Hegde Nagar,2087.01,3.0,115.0,3
2985,Hegde Nagar,1703.0,3.0,130.0,3
2986,Hegde Nagar,2087.01,4.0,135.0,3
2987,Hegde Nagar,1718.0,3.0,130.0,3
2988,Hegde Nagar,1884.0,4.0,118.0,3
2989,Hegde Nagar,1930.0,4.0,122.0,3
2990,Hegde Nagar,1584.01,3.0,104.0,3
2991,Hegde Nagar,1168.0,2.0,68.0,3
2992,Hegde Nagar,2162.03,4.0,129.0,3
2993,Hegde Nagar,2087.01,4.0,160.0,3
2994,Hegde Nagar,1000.0,2.0,66.0,2
2995,Hegde Nagar,1348.0,2.0,80.5,3
3004,Hennur,1100.0,2.0,60.0,2
3016,Hennur,2400.0,3.0,135.0,3
3025,Hennur,1935.0,3.0,102.0,3
3027,Hennur,1345.0,2.0,69.0,3
3036,Hennur,1830.0,2.0,113.0,3
3043,Hennur Road,2089.0,3.0,140.0,3
3044,Hennur Road,3203.5,2.0,224.5,4
3046,Hennur Road,1385.0,2.0,83.09,2
3049,Hennur Road,2264.0,3.0,159.0,3
3050,Hennur Road,1157.0,2.0,84.0,2
3051,Hennur Road,1904.0,3.0,120.0,3
3052,Hennur Road,1891.0,3.0,109.0,3
3053,Hennur Road,1561.0,3.0,95.0,3
3055,Hennur Road,2060.0,3.0,149.0,3
3056,Hennur Road,1482.0,2.0,92.0,3
3057,Hennur Road,1232.0,2.0,89.0,2
3059,Hennur Road,1482.0,2.0,83.73,3
3060,Hennur Road,1482.0,2.0,87.0,3
3061,Hennur Road,1891.0,3.0,139.0,3
3062,Hennur Road,1703.0,3.0,101.0,3
3063,Hennur Road,1232.0,2.0,69.61,2
3065,Hennur Road,1804.0,3.0,102.0,3
3066,Hennur Road,2160.0,3.0,160.0,3
3067,Hennur Road,1186.0,2.0,63.0,3
3068,Hennur Road,1680.0,3.0,99.27,3
3070,Hennur Road,1385.0,2.0,83.09,2
3072,Hennur Road,2350.0,3.0,174.0,3
3073,Hennur Road,1586.0,3.0,93.94,3
3074,Hennur Road,1975.0,3.0,123.0,3
3075,Hennur Road,1664.0,2.0,93.865,3
3076,Hennur Road,1290.0,2.0,94.5,3
3077,Hennur Road,901.0,2.0,49.5,2
3078,Hennur Road,1445.0,3.0,86.56,3
3079,Hennur Road,1482.0,2.0,97.0,3
3080,Hennur Road,1182.0,2.0,82.5,2
3081,Hennur Road,1192.0,2.0,62.0,3
3082,Hennur Road,1036.0,2.0,59.46,2
3083,Hennur Road,1891.0,3.0,109.0,3
3084,Hennur Road,1232.0,2.0,69.61,2
3085,Hennur Road,1804.0,3.0,102.0,3
3086,Hennur Road,2320.0,3.0,170.0,3
3087,Hennur Road,1936.0,3.0,118.0,3
3089,Hennur Road,1590.0,3.0,96.5,3
3090,Hennur Road,1445.0,2.0,105.0,3
3091,Hennur Road,1036.0,2.0,59.45,2
3092,Hennur Road,1832.0,3.0,125.0,3
3093,Hennur Road,1359.0,2.0,104.0,2
3094,Hennur Road,1341.0,2.0,75.76,2
3096,Hennur Road,1685.0,3.0,95.0,3
3097,Hennur Road,1414.0,2.0,84.18,2
3098,Hennur Road,1949.0,3.0,133.0,3
3099,Hennur Road,1232.0,2.0,89.0,2
3100,Hennur Road,1250.0,2.0,77.88,3
3101,Hennur Road,2502.0,4.0,180.0,4
3102,Hennur Road,1831.0,3.0,110.0,3
3103,Hennur Road,1232.0,2.0,87.0,2
3104,Hennur Road,1232.0,2.0,74.0,2
3105,Hennur Road,1232.0,2.0,66.0,2
3106,Hennur Road,1341.0,2.0,95.0,2
3107,Hennur Road,2700.0,3.0,150.0,3
3108,Hennur Road,1232.0,2.0,88.0,2
3109,Hennur Road,2365.0,4.0,175.0,3
3114,Hennur Road,2264.0,3.0,168.0,3
3115,Hennur Road,2002.0,3.0,120.0,3
3116,Hennur Road,1232.0,2.0,69.6,2
3117,Hennur Road,1195.0,2.0,73.0,2
3120,Hennur Road,1061.0,2.0,54.92,2
3123,Hennur Road,2041.0,3.0,128.0,3
3124,Hennur Road,1232.0,2.0,87.0,2
3126,Hennur Road,973.0,2.0,56.0,2
3127,Hennur Road,1255.0,2.0,84.0,2
3128,Hennur Road,1232.0,2.0,83.0,2
3129,Hennur Road,1832.0,3.0,116.0,3
3130,Hennur Road,2050.0,3.0,120.0,3
3131,Hennur Road,1445.0,2.0,86.69,3
3132,Hennur Road,1445.0,2.0,83.0,3
3133,Hennur Road,1679.0,3.0,94.86,3
3135,Hennur Road,1654.0,3.0,97.8,3
3136,Hennur Road,1480.0,3.0,100.0,3
3137,Hennur Road,1450.0,3.0,88.6,3
3138,Hennur Road,1155.0,2.0,69.18,2
3141,Hennur Road,1904.0,3.0,129.0,3
3142,Hennur Road,1981.0,3.0,134.0,3
3143,Hennur Road,1155.0,2.0,69.18,2
3145,Hennur Road,1590.0,3.0,105.0,3
3146,Hennur Road,2041.0,3.0,138.0,3
3147,Hennur Road,1100.0,2.0,78.0,3
3148,Hennur Road,1880.0,4.0,154.0,4
3149,Hennur Road,1232.0,2.0,69.61,2
3150,Hennur Road,1748.0,3.0,103.0,3
3151,Hennur Road,1460.0,2.0,80.3,2
3153,Hennur Road,1933.0,3.0,140.0,3
3155,Hennur Road,1232.0,2.0,69.61,2
3156,Hennur Road,1450.0,3.0,79.0,3
3157,Hennur Road,1445.0,2.0,89.56,3
3158,Hennur Road,973.0,2.0,50.74,2
3159,Hennur Road,1482.0,2.0,83.73,3
3160,Hennur Road,1305.0,2.0,77.0,3
3161,Hennur Road,1672.0,3.0,86.0,3
3162,Hennur Road,1165.0,2.0,67.0,2
3163,Hennur Road,980.0,2.0,51.0,2
3164,Hennur Road,1232.0,2.0,80.0,2
3166,Hennur Road,950.0,2.0,55.0,2
3168,Hennur Road,1891.0,3.0,110.0,3
3170,Hennur Road,1470.0,2.0,75.0,3
3172,Hennur Road,1450.0,2.0,80.0,2
3173,Hennur Road,1155.0,2.0,69.18,2
3174,Hennur Road,1936.0,3.0,131.0,3
3175,Hoodi,985.0,2.0,67.0,2
3176,Hoodi,1715.0,2.0,95.0,3
3178,Hoodi,1425.0,2.0,80.0,2
3179,Hoodi,1420.0,2.0,75.0,2
3180,Hoodi,1639.0,3.0,110.0,3
3181,Hoodi,1606.0,3.0,89.55,3
3182,Hoodi,1639.0,3.0,98.32,3
3186,Hoodi,1026.0,2.0,60.87,2
3188,Hoodi,1400.0,2.0,78.0,2
3190,Hoodi,1196.0,2.0,71.74,2
3191,Hoodi,1553.0,3.0,83.09,3
3192,Hoodi,1500.0,2.0,84.0,2
3193,Hoodi,1055.0,2.0,57.63,2
3194,Hoodi,1925.0,2.0,114.0,3
3195,Hoodi,1400.0,2.0,82.0,2
3197,Hoodi,706.0,1.0,48.24,1
3198,Hoodi,1257.0,2.0,69.0,2
3199,Hoodi,1132.0,2.0,67.9,2
3200,Hoodi,1925.0,3.0,110.0,3
3201,Hoodi,1769.0,3.0,96.87,3
3202,Hoodi,1257.0,2.0,71.03,2
3203,Hoodi,1305.0,2.0,75.0,2
3204,Hoodi,1490.0,3.0,79.0,3
3205,Hoodi,1240.0,2.0,65.0,2
3207,Hoodi,1108.0,2.0,74.23,2
3208,Hoodi,1257.0,2.0,68.5,2
3210,Hoodi,1063.0,2.0,61.17,2
3211,Hoodi,1259.0,2.0,69.45,2
3212,Hoodi,711.0,1.0,42.65,1
3213,Hoodi,1559.0,3.0,81.55,3
3214,Hoodi,863.0,1.0,40.55,1
3215,Hoodi,1715.0,2.0,100.0,3
3216,Hoodi,1350.0,3.0,70.0,3
3217,Hoodi,1447.0,3.0,76.0,2
3218,Hoodi,2144.0,3.0,140.0,3
3219,Hoodi,1108.0,2.0,66.46,2
3220,Hoodi,1400.0,3.0,74.0,3
3221,Hoodi,1837.0,3.0,110.0,3
3222,Hoodi,3385.0,4.0,220.0,4
3225,Hoodi,1490.0,3.0,85.0,3
3233,Horamavu Agara,1756.0,3.0,92.0,3
3236,Horamavu Agara,1265.0,2.0,65.0,3
3240,Horamavu Agara,1250.0,3.0,65.0,3
3248,Horamavu Agara,625.0,1.0,27.0,1
3259,Horamavu Banaswadi,1460.0,2.0,80.5,2
3281,Hormavu,1500.0,2.0,78.0,2
3285,Hormavu,1200.0,2.0,67.0,2
3286,Hormavu,1200.0,3.0,70.0,2
3288,Hormavu,1351.0,2.0,53.0,1
3293,Hormavu,1153.0,2.0,65.0,2
3304,Hormavu,1200.0,2.0,68.0,2
3306,Hormavu,1200.0,2.0,68.0,2
3312,Hormavu,583.0,1.0,28.275,1
3317,Hormavu,1046.0,2.0,60.0,2
3318,Hormavu,1400.0,2.0,75.0,2
3324,Hormavu,1200.0,2.0,73.0,2
3325,Hormavu,1250.0,2.0,65.0,2
3335,Hormavu,1210.0,2.0,69.0,2
3336,Hosa Road,1652.0,3.0,85.0,3
3341,Hosa Road,1365.0,2.0,92.0,2
3344,Hosa Road,1332.0,2.0,86.12,3
3345,Hosa Road,615.0,1.0,28.29,1
3346,Hosa Road,1318.0,2.0,85.28,3
3351,Hosa Road,1532.0,3.0,98.13,3
3352,Hosa Road,1680.0,3.0,101.0,3
3353,Hosa Road,880.0,2.0,50.0,2
3354,Hosa Road,1533.0,3.0,98.18,3
3355,Hosa Road,1040.0,2.0,68.59,2
3356,Hosa Road,1040.0,2.0,61.0,2
3359,Hosa Road,1311.0,2.0,84.86,3
3360,Hosa Road,800.0,1.0,39.99,1
3365,Hosa Road,1360.0,2.0,77.61,2
3366,Hosa Road,1170.0,2.0,65.0,2
3368,Hosa Road,1470.0,2.0,84.22,3
3373,Hosakerehalli,2378.0,3.0,262.0,3
3374,Hosakerehalli,2376.0,3.0,203.0,3
3375,Hosakerehalli,3205.0,5.0,380.0,4
3376,Hosakerehalli,3024.0,5.0,248.0,4
3377,Hosakerehalli,3024.0,5.0,350.0,4
3378,Hosakerehalli,2400.0,5.0,250.0,5
3379,Hosakerehalli,1817.0,4.0,153.0,3
3380,Hosakerehalli,1304.0,2.0,100.0,2
3381,Hosakerehalli,2480.0,3.0,245.0,3
3383,Hosakerehalli,2480.0,4.0,260.0,3
3385,Hosakerehalli,1200.0,2.0,100.0,3
3386,Hosakerehalli,3205.0,4.0,300.0,4
3387,Hosakerehalli,3033.0,4.0,326.0,4
3388,Hosakerehalli,600.0,2.0,65.0,2
3389,Hosakerehalli,2480.0,4.0,265.0,3
3391,Hosakerehalli,2376.0,3.0,240.0,3
3392,Hosakerehalli,1500.0,6.0,145.0,5
3408,Hoskote,509.0,1.0,23.0,1
3409,Hosur Road,1656.0,2.0,120.0,2
3410,Hosur Road,1194.0,2.0,69.0,2
3412,Hosur Road,1145.0,2.0,60.0,3
3414,Hosur Road,1510.0,2.0,105.0,3
3415,Hosur Road,1427.0,2.0,80.63,3
3416,Hosur Road,1508.0,2.0,110.0,3
3417,Hosur Road,460.0,1.0,21.0,1
3420,Hosur Road,950.0,2.0,60.0,2
3421,Hosur Road,1194.0,2.0,71.64,2
3422,Hosur Road,1766.0,3.0,130.0,3
3423,Hosur Road,1689.0,3.0,103.0,3
3427,Hosur Road,1689.0,3.0,103.0,3
3429,Hosur Road,2000.0,4.0,130.0,4
3430,Hosur Road,1250.0,2.0,65.0,2
3431,Hosur Road,1689.0,3.0,103.0,3
3433,Hosur Road,1685.0,3.0,90.0,3
3434,Hosur Road,1223.0,2.0,93.0,2
3436,Hosur Road,1919.0,3.0,117.0,3
3440,Hulimavu,1823.0,3.0,100.0,3
3443,Hulimavu,1100.0,2.0,71.5,2
3445,Hulimavu,688.0,1.0,50.0,1
3446,Hulimavu,1255.0,2.0,73.0,2
3447,Hulimavu,1200.0,4.0,75.0,4
3449,Hulimavu,1375.0,2.0,80.0,2
3450,Hulimavu,1248.0,2.0,69.0,2
3451,Hulimavu,1818.0,3.0,135.0,3
3453,Hulimavu,1255.0,2.0,74.0,2
3455,Hulimavu,1255.0,2.0,69.0,2
3456,Hulimavu,1255.0,2.0,66.0,2
3457,Hulimavu,3035.0,5.0,271.0,3
3458,Hulimavu,3035.0,5.0,220.0,3
3459,Hulimavu,1127.0,2.0,65.0,2
3462,Hulimavu,1200.0,2.0,75.0,2
3463,Hulimavu,1430.0,2.0,90.0,3
3468,Hulimavu,3560.0,5.0,318.0,4
3470,Hulimavu,1276.0,2.0,76.0,2
3471,Hulimavu,1500.0,2.0,90.0,2
3473,Hulimavu,1021.0,2.0,76.0,2
3474,Hulimavu,581.0,1.0,29.0,1
3476,Hulimavu,1050.0,2.0,125.0,2
3478,Hulimavu,1200.0,4.0,75.0,4
3479,Hulimavu,1260.0,2.0,82.0,3
3480,Hulimavu,450.0,1.0,20.0,1
3481,Hulimavu,1231.0,2.0,84.5,2
3482,Hulimavu,1916.0,2.0,150.0,3
3485,ISRO Layout,1000.0,2.0,60.0,2
3487,ISRO Layout,1000.0,2.0,60.0,2
3488,ISRO Layout,1310.0,2.0,68.0,3
3489,ISRO Layout,4200.0,4.0,255.0,4
3491,ISRO Layout,1370.0,2.0,87.0,3
3493,ITPL,1548.0,3.0,89.5,3
3494,ITPL,1200.0,3.0,68.4,3
3499,Iblur Village,3235.0,3.0,235.0,3
3500,Iblur Village,3596.0,5.0,290.0,4
3501,Iblur Village,1920.0,3.0,130.0,3
3502,Iblur Village,1995.0,3.0,135.0,3
3503,Iblur Village,3596.0,5.0,282.0,4
3504,Iblur Village,1918.0,3.0,129.0,3
3505,Iblur Village,3596.0,5.0,252.0,4
3506,Iblur Village,2100.0,4.0,145.0,3
3507,Iblur Village,1920.0,3.0,150.0,3
3508,Iblur Village,1920.0,3.0,130.0,3
3509,Iblur Village,1920.0,3.0,150.0,3
3510,Iblur Village,2000.0,4.0,138.0,3
3511,Iblur Village,3596.0,5.0,260.0,4
3512,Iblur Village,3596.0,5.0,279.0,4
3513,Iblur Village,2666.0,4.0,200.0,3
3514,Iblur Village,5384.0,5.0,420.0,5
3515,Iblur Village,3596.0,5.0,297.0,4
3516,Iblur Village,5515.0,6.0,425.0,5
3517,Iblur Village,1920.0,3.0,130.0,3
3518,Iblur Village,3596.0,4.0,268.0,4
3519,Iblur Village,3596.0,5.0,251.0,4
3520,Indira Nagar,2200.0,4.0,200.0,4
3521,Indira Nagar,1200.0,2.0,93.0,2
3522,Indira Nagar,1128.0,2.0,105.0,2
3523,Indira Nagar,2800.0,3.0,330.0,3
3524,Indira Nagar,1650.0,3.0,200.0,3
3525,Indira Nagar,1875.0,3.0,180.0,3
3526,Indira Nagar,1210.0,2.0,102.0,2
3527,Indira Nagar,1224.0,2.0,105.0,2
3528,Indira Nagar,2070.0,3.0,225.0,3
3529,Indira Nagar,500.0,1.0,70.0,1
3530,Indira Nagar,1400.0,2.0,168.0,2
3531,Indira Nagar,2400.0,4.0,525.0,4
3532,Indira Nagar,1407.0,3.0,120.0,3
3533,Indira Nagar,1145.0,2.0,100.0,2
3534,Indira Nagar,1470.0,2.0,170.0,2
3535,Indira Nagar,2700.0,3.0,324.0,3
